YEAR_MONTH,Monthly_Trolley_Total,Monthly_Ward_Total,A01,A02,A03,A04,A05,A06,A07,A09,A10,A11,A12,A14,B01,B02,B03,B05,C01,C02,C03,C04,C05,C07,C08,C09,C10,D01,D02,D03,D05,D06,D07,D10,D11,G01,G02,G03,G04,H01,H02,H03,H04,J01,J02,J04,J05,L01,L02,L04,M01,M02,M03,M04,M05,M09,N01,N02,N03,N04,N05,N06,N07,P01,P02,P03,R01,R03,R05,R06,S01,S02,S03,V01,V03,V04,V06,V07 1,V07 2,V07 3,V07 4,V07 5,Monthly_Total_Pressure
2016-01-01,7537,1808,6774.0,322537.0,36323.0,2940.0,1543.0,70781.0,21874.0,1753.0,61839.0,30409.0,95692.0,14.0,274844.0,1391.0,76233.0,0.0,52262.0,17256.0,106767.0,2730.0,9926.0,163617.0,114634.0,246347.0,279862.0,33740.0,20561.0,50.0,6895.0,10555.0,45007.0,8470.0,2213.0,2034.0,2651.0,83439.0,95717.0,1141.0,71742.0,135595.0,392.0,266406.0,8944.0,645.0,4934.0,3158.0,8773.0,14759.0,111868.0,56386.0,4789.0,27970.0,42120.0,9357.0,18962.0,270470.0,115983.0,20987.0,306171.0,278581.0,32647.0,8982.0,836.0,1830.0,40471.0,286715.0,36925.0,45011.0,108056.0,1988.0,5613.0,56.0,1843.0,18586.0,46856.0,19127.0,9567.0,14874.0,2354.0,5266.0,9345
2016-02-01,6825,2060,7173.0,317940.0,35610.0,2969.0,1510.0,71801.0,21613.0,1712.0,60555.0,31533.0,94915.0,11.0,271538.0,1430.0,75430.0,0.0,51380.0,16951.0,104846.0,2729.0,9792.0,161456.0,113330.0,243117.0,276166.0,33788.0,21024.0,44.0,6864.0,10952.0,45838.0,8206.0,2222.0,2048.0,2650.0,82212.0,95150.0,1184.0,66556.0,135189.0,385.0,250431.0,8666.0,650.0,5790.0,3035.0,8798.0,14439.0,111760.0,56142.0,4829.0,27923.0,41369.0,9197.0,19547.0,270043.0,115845.0,21042.0,304709.0,277549.0,32086.0,8895.0,794.0,1742.0,40005.0,280967.0,32619.0,45102.0,110329.0,1926.0,5772.0,70.0,1849.0,18505.0,47634.0,19260.0,9422.0,14601.0,2429.0,5281.0,8885
2016-03-01,7018,2363,7477.0,331828.0,37015.0,3174.0,1611.0,72708.0,22847.0,1779.0,62724.0,34087.0,99110.0,15.0,282942.0,1441.0,79301.0,0.0,53684.0,17713.0,109989.0,2862.0,9983.0,169712.0,119642.0,255824.0,289946.0,34405.0,21434.0,61.0,7179.0,11153.0,46813.0,8116.0,2349.0,2024.0,2543.0,86326.0,98566.0,1204.0,66402.0,142116.0,410.0,242470.0,8782.0,630.0,5632.0,3179.0,9181.0,15262.0,113426.0,57761.0,5023.0,29519.0,42917.0,9684.0,20688.0,280497.0,121263.0,21956.0,316215.0,290035.0,32252.0,9359.0,691.0,1624.0,41857.0,287285.0,30479.0,48309.0,113705.0,1960.0,5760.0,78.0,1947.0,18569.0,48483.0,19855.0,9802.0,14333.0,2076.0,5257.0,9381
2016-04-01,6211,1934,7282.0,330883.0,36708.0,3161.0,1597.0,73287.0,23338.0,1808.0,61247.0,35336.0,98784.0,14.0,280327.0,1525.0,80121.0,1.0,53106.0,17404.0,109045.0,2796.0,10425.0,167869.0,118379.0,253288.0,287653.0,35674.0,22463.0,60.0,7494.0,11356.0,49845.0,8451.0,2596.0,2082.0,2778.0,86575.0,98685.0,1200.0,59975.0,142467.0,406.0,214249.0,8994.0,693.0,5206.0,3298.0,9102.0,15452.0,114239.0,59599.0,5016.0,29629.0,42625.0,9705.0,20978.0,278232.0,120503.0,21357.0,313693.0,289326.0,32351.0,9074.0,662.0,1509.0,42606.0,281949.0,25068.0,51636.0,114564.0,1865.0,5753.0,94.0,1957.0,17339.0,48494.0,20268.0,10055.0,13870.0,2241.0,5149.0,8145
2016-05-01,5117,1510,7102.0,325370.0,35843.0,3096.0,1555.0,72389.0,23325.0,1744.0,60345.0,36081.0,96459.0,20.0,276444.0,1442.0,80640.0,0.0,52827.0,17097.0,109553.0,2782.0,10123.0,165818.0,116595.0,249203.0,283414.0,35126.0,21493.0,61.0,7188.0,11344.0,47827.0,7727.0,2519.0,1843.0,2727.0,86556.0,97477.0,1130.0,57964.0,140768.0,413.0,203056.0,8390.0,672.0,4874.0,3388.0,8922.0,15031.0,111245.0,58942.0,5018.0,29546.0,41726.0,9667.0,21149.0,271677.0,119516.0,21585.0,308807.0,286772.0,31199.0,9273.0,685.0,1091.0,44207.0,274428.0,22257.0,59887.0,114706.0,1919.0,5583.0,84.0,1889.0,16259.0,48695.0,20399.0,9873.0,13280.0,2597.0,5001.0,6627
2016-06-01,4420,1466,7153.0,325796.0,35106.0,3059.0,1538.0,70003.0,23015.0,1831.0,59732.0,36676.0,96718.0,17.0,275888.0,1437.0,81692.0,0.0,52449.0,17266.0,109476.0,2768.0,10041.0,165734.0,116793.0,249863.0,283745.0,34478.0,20074.0,54.0,7014.0,11088.0,46106.0,7336.0,2468.0,2019.0,2629.0,86891.0,97728.0,1112.0,55788.0,141929.0,398.0,187853.0,8344.0,689.0,4923.0,3256.0,9142.0,15123.0,108263.0,57668.0,5023.0,29830.0,41346.0,9759.0,21404.0,268824.0,119540.0,21429.0,308401.0,285998.0,30719.0,9829.0,558.0,1032.0,47327.0,272129.0,19415.0,69688.0,117424.0,1931.0,5437.0,99.0,1906.0,15340.0,47839.0,20085.0,9809.0,12409.0,2017.0,4974.0,5886
2016-07-01,4853,1886,7145.0,328231.0,35040.0,3006.0,1564.0,70035.0,22291.0,1806.0,59199.0,37696.0,96711.0,21.0,277807.0,1426.0,82079.0,0.0,52637.0,17087.0,109817.0,2766.0,9607.0,167174.0,117968.0,252109.0,286209.0,34419.0,19347.0,60.0,6803.0,10890.0,43756.0,7221.0,2360.0,2043.0,2482.0,86270.0,98211.0,1118.0,53737.0,143535.0,375.0,184396.0,8640.0,662.0,4733.0,3229.0,9252.0,15269.0,106745.0,57996.0,5091.0,29984.0,41147.0,10041.0,21507.0,269155.0,119953.0,21533.0,308396.0,286903.0,30415.0,9786.0,710.0,1246.0,42748.0,269236.0,19437.0,61521.0,113963.0,1964.0,5444.0,84.0,1963.0,14960.0,48073.0,19983.0,9978.0,11716.0,2173.0,4717.0,6739
2016-08-01,4825,1311,7150.0,332266.0,35571.0,3054.0,1604.0,71981.0,22755.0,1879.0,59070.0,38896.0,97919.0,27.0,279740.0,1524.0,83580.0,0.0,52948.0,17252.0,110189.0,2851.0,9978.0,168188.0,118224.0,252910.0,288253.0,32180.0,19495.0,68.0,6928.0,11120.0,44793.0,8025.0,2416.0,2111.0,2614.0,87385.0,99972.0,1122.0,52427.0,144546.0,394.0,178487.0,8663.0,668.0,4817.0,3380.0,9160.0,15444.0,109300.0,59994.0,5195.0,30450.0,41104.0,10171.0,22213.0,272107.0,121845.0,21804.0,314974.0,291752.0,30888.0,9551.0,675.0,1581.0,40594.0,266893.0,18974.0,56975.0,113899.0,2056.0,5427.0,75.0,1971.0,14811.0,48713.0,20313.0,10283.0,11170.0,2363.0,4708.0,6136
2016-09-01,5732,1819,7106.0,330945.0,35677.0,3111.0,1599.0,71282.0,22352.0,1835.0,58116.0,39554.0,97169.0,24.0,276175.0,1488.0,83425.0,0.0,52204.0,17029.0,108196.0,2705.0,9956.0,166692.0,117630.0,251157.0,286602.0,32408.0,19670.0,53.0,6999.0,10915.0,45267.0,8593.0,2439.0,2260.0,2700.0,84730.0,99235.0,1165.0,58909.0,143672.0,399.0,205679.0,9074.0,719.0,4826.0,3395.0,9139.0,15311.0,110696.0,60055.0,5089.0,30245.0,40905.0,10010.0,22353.0,272745.0,120276.0,21305.0,310916.0,290964.0,31462.0,9114.0,732.0,1922.0,41517.0,279437.0,22498.0,53920.0,113623.0,1906.0,6184.0,59.0,1925.0,14828.0,48189.0,20644.0,10153.0,12081.0,2181.0,4901.0,7551
2016-10-01,5973,1757,6962.0,319707.0,33430.0,3003.0,1571.0,68746.0,21493.0,1795.0,55650.0,39716.0,94311.0,20.0,265926.0,1449.0,80702.0,0.0,50273.0,16474.0,104066.0,2688.0,9563.0,161111.0,113787.0,242312.0,276922.0,30491.0,19202.0,52.0,6905.0,10496.0,42859.0,8015.0,2333.0,2120.0,2628.0,80868.0,97072.0,1104.0,61323.0,139192.0,359.0,211459.0,8818.0,673.0,4664.0,3293.0,8823.0,14924.0,105042.0,57753.0,5035.0,28937.0,39521.0,9642.0,22167.0,264090.0,116750.0,20909.0,299566.0,281369.0,30314.0,8867.0,741.0,1846.0,40052.0,274556.0,25599.0,49101.0,109233.0,1787.0,5832.0,43.0,1894.0,14313.0,46365.0,19834.0,8799.0,12119.0,2243.0,4836.0,7730
