YEAR_MONTH,Monthly_Trolley_Total,Monthly_Ward_Total,BENZO_FREQ_N03AE01,BENZO_FREQ_N05BA01,BENZO_FREQ_N05BA02,BENZO_FREQ_N05BA05,BENZO_FREQ_N05BA06,BENZO_FREQ_N05BA08,BENZO_FREQ_N05BA09,BENZO_FREQ_N05BA11,BENZO_FREQ_N05BA12,BENZO_FREQ_N05CD01,BENZO_FREQ_N05CD02,BENZO_FREQ_N05CD05,BENZO_FREQ_N05CD07,BENZO_FREQ_N05CD08,BENZO_FREQ_N05CF01,BENZO_FREQ_N05CF02,BENZO_PATIENTS_N03AE01,BENZO_PATIENTS_N05BA01,BENZO_PATIENTS_N05BA02,BENZO_PATIENTS_N05BA05,BENZO_PATIENTS_N05BA06,BENZO_PATIENTS_N05BA08,BENZO_PATIENTS_N05BA09,BENZO_PATIENTS_N05BA11,BENZO_PATIENTS_N05BA12,BENZO_PATIENTS_N05CD01,BENZO_PATIENTS_N05CD02,BENZO_PATIENTS_N05CD05,BENZO_PATIENTS_N05CD07,BENZO_PATIENTS_N05CD08,BENZO_PATIENTS_N05CF01,BENZO_PATIENTS_N05CF02
2018-01-01,9104,3291,7319.0,36919.0,2568.0,18.0,3720.0,7418.0,1343.0,1280.0,34085.0,9666.0,1428.0,6761.0,7663.0,2570.0,51338.0,40883.0,5916.0,29153.0,1888.0,17.0,3007.0,6359.0,1133.0,1137.0,28068.0,7980.0,1230.0,5717.0,6421.0,2029.0,42837.0,34878.0
2018-02-01,8032,2982,6643.0,33333.0,2140.0,18.0,3387.0,6905.0,1207.0,1199.0,30757.0,8774.0,1274.0,6072.0,6914.0,2183.0,46257.0,36647.0,5696.0,27643.0,1628.0,17.0,2899.0,6141.0,1098.0,1115.0,26592.0,7646.0,1164.0,5429.0,6089.0,1709.0,40471.0,32592.0
2018-03-01,7611,3083,7147.0,35477.0,2220.0,14.0,3568.0,7226.0,1265.0,1254.0,32788.0,9400.0,1354.0,6407.0,7259.0,2287.0,49032.0,38812.0,5877.0,28403.0,1687.0,12.0,2965.0,6258.0,1094.0,1127.0,27507.0,7800.0,1203.0,5504.0,6157.0,1788.0,41448.0,33567.0
2018-04-01,6586,2847,7002.0,34545.0,2336.0,17.0,3519.0,7052.0,1237.0,1239.0,32093.0,8982.0,1304.0,6177.0,6948.0,2281.0,47319.0,37464.0,5859.0,28290.0,1683.0,16.0,3001.0,6238.0,1092.0,1120.0,27484.0,7656.0,1181.0,5470.0,6075.0,1800.0,40877.0,32983.0
2018-05-01,6393,2790,7342.0,36448.0,2341.0,20.0,3659.0,7328.0,1290.0,1280.0,34184.0,9436.0,1341.0,6480.0,7281.0,2392.0,49717.0,39327.0,5922.0,28605.0,1688.0,17.0,2982.0,6261.0,1094.0,1134.0,28275.0,7707.0,1175.0,5510.0,6122.0,1824.0,41309.0,33459.0
2018-06-01,4828,2086,6865.0,34685.0,2186.0,16.0,3446.0,6973.0,1212.0,1229.0,32287.0,8893.0,1300.0,6227.0,6835.0,2155.0,47148.0,37405.0,5722.0,28118.0,1648.0,13.0,2907.0,6131.0,1062.0,1115.0,27341.0,7531.0,1148.0,5445.0,5926.0,1677.0,40370.0,32510.0
2018-07-01,4748,2341,6924.0,35426.0,2460.0,16.0,3541.0,7027.0,1257.0,1242.0,32947.0,9044.0,1357.0,6281.0,6968.0,2325.0,48028.0,37825.0,5667.0,28428.0,1720.0,14.0,2920.0,6128.0,1098.0,1121.0,27667.0,7587.0,1174.0,5426.0,5960.0,1785.0,40623.0,32781.0
2018-08-01,5484,2452,7380.0,36866.0,2439.0,16.0,3677.0,7312.0,1307.0,1296.0,34418.0,9409.0,1350.0,6531.0,7188.0,2274.0,50193.0,39712.0,5970.0,29082.0,1812.0,14.0,3014.0,6215.0,1101.0,1138.0,28365.0,7679.0,1166.0,5496.0,6000.0,1758.0,41536.0,33663.0
2018-09-01,5415,2409,6872.0,33714.0,2196.0,16.0,3348.0,6786.0,1231.0,1203.0,31673.0,8452.0,1265.0,6051.0,6616.0,2361.0,46183.0,36780.0,5792.0,27924.0,1656.0,14.0,2857.0,6035.0,1066.0,1097.0,27311.0,7359.0,1137.0,5344.0,5863.0,1889.0,40300.0,32670.0
2018-10-01,6235,2820,7369.0,36250.0,2297.0,21.0,3764.0,7160.0,1236.0,1270.0,33385.0,9117.0,1308.0,6513.0,7051.0,2445.0,49470.0,39071.0,5970.0,28880.0,1676.0,18.0,3024.0,6170.0,1083.0,1131.0,27875.0,7528.0,1147.0,5478.0,5982.0,1906.0,41505.0,33572.0
