Region,Local Health Office (LHO),YEAR_MONTH,ATC Class,Number of Patients,Number of Prescriptions,Prescribing Frequency,Igredient Cost (€),Total Cost (€)
HSE Dublin and Midlands,Dublin South City,201801,N03AE01,99,123,123,256.71,1117.09
HSE Dublin and Midlands,Dublin South City,201801,N05BA01,1098,1442,1501,1952.57,13240.98
HSE Dublin and Midlands,Dublin South City,201801,N05BA02,61,88,94,215.77,831.16
HSE Dublin and Midlands,Dublin South City,201801,N05BA06,72,90,90,116,616.14
HSE Dublin and Midlands,Dublin South City,201801,N05BA08,134,149,149,485.28,1307.51
HSE Dublin and Midlands,Dublin South City,201801,N05BA09,24,29,29,87.88,285.55
HSE Dublin and Midlands,Dublin South City,201801,N05BA11,32,37,37,93.81,265.12
HSE Dublin and Midlands,Dublin South City,201801,N05BA12,493,582,586,760,4190.15
HSE Dublin and Midlands,Dublin South City,201801,N05CD01,317,402,405,2634.61,5702.51
HSE Dublin and Midlands,Dublin South City,201801,N05CD02,30,30,30,39.56,180.87
HSE Dublin and Midlands,Dublin South City,201801,N05CD05,63,73,73,168.44,535.99
HSE Dublin and Midlands,Dublin South City,201801,N05CD06,69,76,76,270.98,604.79
HSE Dublin and Midlands,Dublin South City,201801,N05CD07,68,75,75,178.84,581.32
HSE Dublin and Midlands,Dublin South City,201801,N05CD08,32,36,39,3125.6,3349.31
HSE Dublin and Midlands,Dublin South City,201801,N05CF01,1183,1460,1475,4491.3,14041.13
HSE Dublin and Midlands,Dublin South City,201801,N05CF02,1011,1161,1170,2863.47,9453.79
HSE Dublin and Midlands,Dublin South City,201802,N03AE01,88,100,100,215.96,983.42
HSE Dublin and Midlands,Dublin South City,201802,N05BA01,1051,1305,1350,1799.6,11369.19
HSE Dublin and Midlands,Dublin South City,201802,N05BA02,54,82,88,202.05,785.36
HSE Dublin and Midlands,Dublin South City,201802,N05BA06,54,60,60,81.73,430.71
HSE Dublin and Midlands,Dublin South City,201802,N05BA08,134,144,145,494.86,1299.28
HSE Dublin and Midlands,Dublin South City,201802,N05BA09,21,23,23,67.74,211.48
HSE Dublin and Midlands,Dublin South City,201802,N05BA11,31,32,32,77.25,218.25
