YEAR_MONTH,ATC Class Category,ATC Class Code,Product Category,Prescribing Frequency,Prescribing Frequency Percentage of Scheme Total,Ingredient Cost,Ingredient Cost Percentage of Scheme Total,Ingredient Cost Percentage of Scheme Total
201601,Alimentary Tract and Metabolism,A01,Stomatological Preparations,6774,0.14,19505,0.03,0.03
201601,Alimentary Tract and Metabolism,A02,Drugs For Acid Related Disorders,322537,6.75,1907486,3.35,3.35
201601,Alimentary Tract and Metabolism,A03,Drugs For Functional Gastrointestinal Disorders,36323,0.76,119924,0.21,0.21
201601,Alimentary Tract and Metabolism,A04,Antiemetics and Antinauseants,2940,0.06,246125,0.43,0.43
201601,Alimentary Tract and Metabolism,A05,Bile and Liver Therapy,1543,0.03,54955,0.1,0.1
201601,Alimentary Tract and Metabolism,A06,Laxatives,70781,1.48,717358,1.26,1.26
201601,Alimentary Tract and Metabolism,A07,Antidiarrheals Intestinal Antiinflammatory/Antiinfective Agents,21874,0.46,638636,1.12,1.12
201601,Alimentary Tract and Metabolism,A09,Digestives Incl. Enzymes,1753,0.04,87242,0.15,0.15
201601,Alimentary Tract and Metabolism,A10,Drugs Used In Diabetes,61839,1.29,1233714,2.17,2.17
201601,Alimentary Tract and Metabolism,A11,Vitamins,30409,0.64,186167,0.33,0.33
201601,Alimentary Tract and Metabolism,A12,Mineral Supplements,95692,2,509581,0.9,0.9
201601,Alimentary Tract and Metabolism,A14,Anabolic Agents For Systemic Use,14,0,181,0,0
201601,Alimentary Tract and Metabolism,,,,,,,
201601,Antiinfectives For Systemic Use,J01,Antibacterials For Systemic Use,266406,5.58,1628195,2.86,2.86
201601,Antiinfectives For Systemic Use,J02,Antimycotics For Systemic Use,8944,0.19,74620,0.13,0.13
201601,Antiinfectives For Systemic Use,J04,Antimycobacterials,645,0.01,13909,0.02,0.02
201601,Antiinfectives For Systemic Use,J05,Antivirals For Systemic Use,4934,0.1,189734,0.33,0.33
201601,Antiinfectives For Systemic Use,,,,,,,
201601,Antineoplastic and Immunomodulating Agents,L01,Antineoplastic Agents,3158,0.07,168624,0.3,0.3
201601,Antineoplastic and Immunomodulating Agents,L02,Endocrine Therapy,8773,0.18,218301,0.38,0.38
201601,Antineoplastic and Immunomodulating Agents,L04,Immunosuppressive Agents,14759,0.31,133497,0.23,0.23
201601,Antineoplastic and Immunomodulating Agents,,,,,,,
201601,Antiparasitic Products Insecticides and Repellents,P01,Antiprotozoals,8982,0.19,60517,0.11,0.11
201601,Antiparasitic Products Insecticides and Repellents,P02,Anthelmintics,836,0.02,2960,0.01,0.01
201601,Antiparasitic Products Insecticides and Repellents,P03,Ectoparasiticides Incl. Scabicides Insecticides and Repellents,1830,0.04,24860,0.04,0.04
201601,Antiparasitic Products Insecticides and Repellents,,,,,,,
201601,Blood and Blood Forming Organs,B01,Antithrombotic Agents,274844,5.75,2856699,5.02,5.02
201601,Blood and Blood Forming Organs,B02,Antihemorrhagics,1391,0.03,16889,0.03,0.03
201601,Blood and Blood Forming Organs,B03,Antianemic Preparations,76233,1.6,166703,0.29,0.29
201601,Blood and Blood Forming Organs,,,,,,,
201601,Cardiovascular System,C01,Cardiac Therapy,52262,1.09,724478,1.27,1.27
201601,Cardiovascular System,C02,Antihypertensives,17256,0.36,145409,0.26,0.26
201601,Cardiovascular System,C03,Diuretics,106767,2.23,306373,0.54,0.54
201601,Cardiovascular System,C04,Peripheral Vasodilators,2730,0.06,40895,0.07,0.07
201601,Cardiovascular System,C05,Vasoprotectives,9926,0.21,72766,0.13,0.13
201601,Cardiovascular System,C07,Beta Blocking Agents,163617,3.42,489751,0.86,0.86
201601,Cardiovascular System,C08,Calcium Channel Blockers,114634,2.4,499101,0.88,0.88
201601,Cardiovascular System,C09,Agents Acting On The Renin-Angiotensin System,246347,5.16,2133893,3.75,3.75
201601,Cardiovascular System,C10,Serum Lipid Reducing Agents,279862,5.86,2119493,3.73,3.73
201601,Cardiovascular System,,,,,,,
201601,Dermatologicals,D01,Antifungals For Dermatological Use,33740,0.71,193894,0.34,0.34
201601,Dermatologicals,D02,Emollients and Protectives,20561,0.43,55555,0.1,0.1
201601,Dermatologicals,D03,Preparations For Treatment Of Wounds and Ulcers,50,0,768,0,0
201601,Dermatologicals,D04,Antipruritics Incl. Antihistamines Anesthetics Etc.,1,0,92,0,0
201601,Dermatologicals,D05,Antipsoriatics,6895,0.14,343399,0.6,0.6
201601,Dermatologicals,D06,Antibiotics and Chemotherapeutics For Dermatological Use,10555,0.22,85635,0.15,0.15
201601,Dermatologicals,D07,Corticosteroids Dermatological Preparations,45007,0.94,241699,0.42,0.42
201601,Dermatologicals,D10,Anti-Acne Preparations,8470,0.18,127949,0.22,0.22
201601,Dermatologicals,D11,Other Dermatological Preparations,2213,0.05,114655,0.2,0.2
201601,Dermatologicals,,,,,,,
201601,Genito Urinary System and Sex Hormones,G01,Gynecological Antiinfectives and Antiseptics,2034,0.04,11765,0.02,0.02
201601,Genito Urinary System and Sex Hormones,G02,Other Gynecologicals,2651,0.06,170097,0.3,0.3
201601,Genito Urinary System and Sex Hormones,G03,Sex Hormones and Modulators Of The Genital System,83439,1.75,681044,1.2,1.2
201601,Genito Urinary System and Sex Hormones,G04,Urologicals,95717,2,1943069,3.42,3.42
201601,Genito Urinary System and Sex Hormones,,,,,,,
201601,Musculo-Skeletal System,M01,Antiinflammatory and Antirheumatic Products,111868,2.34,837528,1.47,1.47
201601,Musculo-Skeletal System,M02,Topical Products For Joint and Muscular Pain,56386,1.18,375919,0.66,0.66
201601,Musculo-Skeletal System,M03,Muscle Relaxants,4789,0.1,55599,0.1,0.1
201601,Musculo-Skeletal System,M04,Antigout Preparations,27970,0.59,190017,0.33,0.33
201601,Musculo-Skeletal System,M05,Drugs For Treatment Of Bone Diseases,42120,0.88,1142919,2.01,2.01
201601,Musculo-Skeletal System,M09,Other Drugs For Disorders Of The Musculo-Skeletal System,9357,0.2,102976,0.18,0.18
201601,Musculo-Skeletal System,,,,,,,
201601,Nervous System,N01,Anesthetics,18962,0.4,1791362,3.15,3.15
201601,Nervous System,N02,Analgesics,270470,5.66,2698251,4.74,4.74
201601,Nervous System,N03,Antiepileptics,115983,2.43,3652807,6.42,6.42
201601,Nervous System,N04,Anti-Parkinson Drugs,20987,0.44,454763,0.8,0.8
201601,Nervous System,N05,Psycholeptics,306171,6.41,3162335,5.56,5.56
201601,Nervous System,N06,Psychoanaleptics,278581,5.83,3538527,6.22,6.22
201601,Nervous System,N07,Other Nervous System Drugs,32647,0.68,810815,1.43,1.43
201601,Nervous System,,,,,,,
201601,Respiratory System,R01,Nasal Preparations,40471,0.85,398603,0.7,0.7
201601,Respiratory System,R02,Throat Preparations,968,0.02,2008,0,0
201601,Respiratory System,R03,Drugs For Obstructive Airway Diseases,286715,6,6940017,12.2,12.2
201601,Respiratory System,R05,Cough and Cold Preparations,36925,0.77,147049,0.26,0.26
201601,Respiratory System,R06,Antihistamines For Systemic Use,45011,0.94,179070,0.31,0.31
201601,Respiratory System,,,,,,,
201601,Sensory Organs,S01,Ophthalmologicals,108056,2.26,951910,1.67,1.67
201601,Sensory Organs,S02,Otologicals,1988,0.04,11931,0.02,0.02
201601,Sensory Organs,S03,Ophthalmological and Otological Preparations,5613,0.12,17268,0.03,0.03
201601,Sensory Organs,,,,,,,
