YEAR_MONTH,Monthly_Trolley_Total,Monthly_Ward_Total
201601,7537,1808
201602,6825,2060
201603,7018,2363
201604,6211,1934
201605,5117,1510
201606,4420,1466
201607,4853,1886
201608,4825,1311
201609,5732,1819
201610,5973,1757
201611,7181,2125
201612,6048,1842
201701,7238,3127
201702,6397,2623
201703,6710,2749
201704,5071,2128
201705,5859,2295
201706,5194,1930
201707,4540,1813
201708,5528,2253
201709,5603,2498
201710,6066,2837
201711,6212,2476
201712,5734,2100
201801,9104,3291
201802,8032,2982
201803,7611,3083
201804,6586,2847
201805,6393,2790
201806,4828,2086
201807,4748,2341
201808,5484,2452
201809,5415,2409
201810,6235,2820
201811,6637,3042
201812,4855,2156
201901,7369,2981
201902,6141,2374
201903,6962,2752
201904,7339,2890
201905,6359,2656
201906,5096,2296
201907,6787,2652
201908,6708,2854
201909,7463,3178
201910,8087,3365
201911,8162,3893
201912,7065,2938
202001,8143,3881
202002,7295,3151
202003,2375,777
202004,489,8
202005,1095,81
202006,2149,295
202007,2716,398
202008,2612,475
202009,3860,739
202010,3717,782
202011,3337,597
202012,3680,673
202101,3285,673
202102,3061,395
202103,3467,659
202104,3884,753
202105,3317,581
202106,4015,1164
202107,4810,1218
202108,5281,1086
202109,6947,1467
202110,6749,1896
202111,6453,1864
202112,5673,1820
202201,6661,1975
202202,7781,2088
202203,8954,2047
202204,7085,1632
202205,7026,1654
202206,8166,1795
202207,7812,1379
202208,8266,1337
202209,8944,1571
202210,9143,1536
202211,10447,2177
202212,9686,2156
202301,8799,2490
202302,7784,2256
202303,10015,2928
202304,7644,2475
202305,9095,2761
202306,6073,2239
202307,5619,2213
202308,6998,2722
202309,7261,2757
202310,7780,2758
202311,8730,2763
202312,6468,2251
202401,8567,3565
202402,7808,3183
202403,7249,2607
202404,8072,2998
202405,7562,2995
202406,6991,2446
202407,7262,2493
202408,5781,2057
202409,6930,2705
202410,7512,3003
202411,7724,2837
202412,7121,2698
202501,9257,4715
202502,7489,3829
202503,6102,3022
202504,5834,2825
202505,5371,2828
202506,5273,2716
202507,5964,3307
202508,5680,2824
202509,6274,3493
202510,6404,3239
202511,6057,2979
202512,5943,2604
202601,7987,5090
202602,7052,4543
202603,7186,3944
