variable,pressure_variable,lag_months,n,pearson_corr
S03,Monthly_Trolley_Total,0,120,0.696097943784555
J01,Monthly_Trolley_Total,0,120,0.6175849281310732
J02,Monthly_Trolley_Total,0,120,0.5503027134543539
R05,Monthly_Trolley_Total,0,120,0.5462415572995025
G03,Monthly_Trolley_Total,6,114,0.45879156079613936
C05,Monthly_Trolley_Total,6,114,0.42596864078942287
P01,Monthly_Trolley_Total,6,114,0.4102678000376008
P03,Monthly_Trolley_Total,0,120,0.3933306709027762
L01,Monthly_Trolley_Total,0,120,0.39078658407142536
V01,Monthly_Trolley_Total,8,112,0.3907625939479248
B02,Monthly_Trolley_Total,12,108,0.388647555297196
P02,Monthly_Trolley_Total,0,120,0.3808970190922423
J05,Monthly_Trolley_Total,0,120,0.3754114451549006
A01,Monthly_Trolley_Total,0,120,0.3676170600354987
M02,Monthly_Trolley_Total,6,114,0.36055955014927155
D05,Monthly_Trolley_Total,6,114,0.3593055665500363
N04,Monthly_Trolley_Total,3,117,0.3502480538066079
A14,Monthly_Trolley_Total,4,116,0.3467859954162732
D01,Monthly_Trolley_Total,6,114,0.3465155652690356
V06,Monthly_Trolley_Total,8,112,0.3451803644882175
A06,Monthly_Trolley_Total,12,108,0.3425546142879419
R06,Monthly_Trolley_Total,5,115,0.3415739559742487
B03,Monthly_Trolley_Total,3,117,0.33229657778166694
N07,Monthly_Trolley_Total,0,120,0.32608927684600864
M09,Monthly_Trolley_Total,3,117,0.32286630379499803
N02,Monthly_Trolley_Total,0,120,0.3175909201558495
A02,Monthly_Trolley_Total,3,117,0.31006101171201184
D11,Monthly_Trolley_Total,6,114,0.309358765833842
S01,Monthly_Trolley_Total,3,117,0.30650799847331245
A10,Monthly_Trolley_Total,2,118,0.3057549577025824
H01,Monthly_Trolley_Total,0,120,0.3032791664603164
C09,Monthly_Trolley_Total,3,117,0.30157518431430014
C07,Monthly_Trolley_Total,3,117,0.2985329660133682
A04,Monthly_Trolley_Total,0,120,0.2978435896910913
C08,Monthly_Trolley_Total,3,117,0.295751916609783
C10,Monthly_Trolley_Total,3,117,0.2957348740912162
G04,Monthly_Trolley_Total,3,117,0.2942089347475061
A07,Monthly_Trolley_Total,0,120,0.29361831675228733
A11,Monthly_Trolley_Total,12,108,0.28935363192436075
A09,Monthly_Trolley_Total,2,118,0.2886585105332401
R03,Monthly_Trolley_Total,0,120,0.2842984393824738
R01,Monthly_Trolley_Total,5,115,0.28266140528606293
N06,Monthly_Trolley_Total,6,114,0.28225001009491885
H03,Monthly_Trolley_Total,6,114,0.2785187459494712
A05,Monthly_Trolley_Total,3,117,0.2770696387712991
V07 4,Monthly_Trolley_Total,0,120,0.272210296767774
C02,Monthly_Trolley_Total,3,117,0.2702473430003838
D02,Monthly_Trolley_Total,8,112,0.25258455286587767
M04,Monthly_Trolley_Total,3,117,0.2506166163555905
M03,Monthly_Trolley_Total,6,114,0.2497528122521811
M01,Monthly_Trolley_Total,0,120,0.24852820447037294
A12,Monthly_Trolley_Total,3,117,0.24413028362876604
V07 2,Monthly_Trolley_Total,3,117,0.24000047481715123
L04,Monthly_Trolley_Total,3,117,0.23972129837081782
V07 3,Monthly_Trolley_Total,0,120,0.2340509970298852
V07 1,Monthly_Trolley_Total,3,117,0.22588155829922457
S02,Monthly_Trolley_Total,0,120,0.22427126437472492
D06,Monthly_Trolley_Total,0,120,0.20297028235857048
L02,Monthly_Trolley_Total,3,117,0.19724718890994541
V07 5,Monthly_Trolley_Total,12,108,0.18557394961217888
D10,Monthly_Trolley_Total,12,108,0.1652518679898614
B05,Monthly_Trolley_Total,0,120,0.15628946015954576
C03,Monthly_Trolley_Total,6,114,0.1391201275270197
G02,Monthly_Trolley_Total,6,114,0.12413295477689773
A03,Monthly_Trolley_Total,2,118,0.11679708520479365
M05,Monthly_Trolley_Total,0,120,0.11272195977294888
V04,Monthly_Trolley_Total,10,110,0.0571501195603997
B01,Monthly_Trolley_Total,0,120,0.04190895026535598
N05,Monthly_Trolley_Total,0,120,0.006418846851975541
N01,Monthly_Trolley_Total,8,112,-0.013979262054574004
G01,Monthly_Trolley_Total,12,108,-0.014706106488489898
D07,Monthly_Trolley_Total,8,112,-0.027744939219870368
C01,Monthly_Trolley_Total,0,120,-0.09520428423350448
H02,Monthly_Trolley_Total,12,108,-0.10567051938960113
N03,Monthly_Trolley_Total,12,108,-0.11164530487428119
D03,Monthly_Trolley_Total,0,120,-0.11244338708670067
H04,Monthly_Trolley_Total,0,120,-0.1443975274717363
C04,Monthly_Trolley_Total,12,108,-0.17543856443073666
J04,Monthly_Trolley_Total,0,120,-0.19383367420732167
V03,Monthly_Trolley_Total,10,110,-0.2381307755437496
