variable,pressure_variable,lag_months,n,pearson_corr
A01,Monthly_Total_Pressure,0,120,0.4266949686142575
A01,Monthly_Total_Pressure,1,119,0.40769508044021735
A01,Monthly_Total_Pressure,2,118,0.3775659192164923
A01,Monthly_Total_Pressure,3,117,0.3627571224580724
A01,Monthly_Total_Pressure,4,116,0.3181515988469601
A01,Monthly_Total_Pressure,5,115,0.29737436510002957
A01,Monthly_Total_Pressure,6,114,0.2596522997498332
A01,Monthly_Total_Pressure,7,113,0.26000279845708846
A01,Monthly_Total_Pressure,8,112,0.2837349686422758
A01,Monthly_Total_Pressure,9,111,0.28512864957366024
A01,Monthly_Total_Pressure,10,110,0.2867884543881633
A01,Monthly_Total_Pressure,11,109,0.27005471321818597
A01,Monthly_Total_Pressure,12,108,0.2519727582509696
A01,Monthly_Trolley_Total,0,120,0.3676170600354987
A01,Monthly_Trolley_Total,1,119,0.33454459046142415
A01,Monthly_Trolley_Total,2,118,0.30057525794879136
A01,Monthly_Trolley_Total,3,117,0.28128393969040055
A01,Monthly_Trolley_Total,4,116,0.22919396472778428
A01,Monthly_Trolley_Total,5,115,0.20648555754917938
A01,Monthly_Trolley_Total,6,114,0.16039697346555828
A01,Monthly_Trolley_Total,7,113,0.1585922662837333
A01,Monthly_Trolley_Total,8,112,0.18135008653518309
A01,Monthly_Trolley_Total,9,111,0.1816954603662876
A01,Monthly_Trolley_Total,10,110,0.185935386362539
A01,Monthly_Trolley_Total,11,109,0.17091732820813027
A01,Monthly_Trolley_Total,12,108,0.1448811479462333
A01,Monthly_Ward_Total,0,120,0.4567822407817906
A01,Monthly_Ward_Total,1,119,0.47183247264188477
A01,Monthly_Ward_Total,2,118,0.45604014872764964
A01,Monthly_Ward_Total,3,117,0.45339453261407586
A01,Monthly_Ward_Total,4,116,0.43347574489829743
A01,Monthly_Ward_Total,5,115,0.4208767716332175
A01,Monthly_Ward_Total,6,114,0.40748322193480063
A01,Monthly_Ward_Total,7,113,0.4117014038522699
A01,Monthly_Ward_Total,8,112,0.4323338167701714
A01,Monthly_Ward_Total,9,111,0.43560756405647993
A01,Monthly_Ward_Total,10,110,0.43189440440128296
A01,Monthly_Ward_Total,11,109,0.41532751042493093
A01,Monthly_Ward_Total,12,108,0.41751548467989297
A02,Monthly_Total_Pressure,0,120,0.29188394164964887
A02,Monthly_Total_Pressure,1,119,0.2583831857810729
A02,Monthly_Total_Pressure,2,118,0.3134586386995121
A02,Monthly_Total_Pressure,3,117,0.3213762633683271
A02,Monthly_Total_Pressure,4,116,0.2994740765543348
A02,Monthly_Total_Pressure,5,115,0.29963790951579106
A02,Monthly_Total_Pressure,6,114,0.30777016379928324
A02,Monthly_Total_Pressure,7,113,0.23535932289665404
A02,Monthly_Total_Pressure,8,112,0.26426988334327006
