variable,pressure_variable,lag_months,n,pearson_corr
BENZO_PATIENTS_N05BA09,Monthly_Trolley_Total,0,96,0.4482398880036914
BENZO_FREQ_N05BA09,Monthly_Trolley_Total,0,96,0.41300343030314124
BENZO_FREQ_N05BA01,Monthly_Trolley_Total,0,96,0.35164853440470883
BENZO_PATIENTS_N05BA01,Monthly_Trolley_Total,0,96,0.3353803094753223
BENZO_FREQ_N05BA05,Monthly_Trolley_Total,0,96,0.17283870887155148
BENZO_PATIENTS_N05BA05,Monthly_Trolley_Total,0,96,0.15238666495288083
BENZO_FREQ_N05CD08,Monthly_Trolley_Total,12,84,0.11491566029438774
BENZO_PATIENTS_N05CF02,Monthly_Trolley_Total,12,84,0.04565094868365056
BENZO_FREQ_N05CF01,Monthly_Trolley_Total,0,96,0.03225462791770376
BENZO_FREQ_N05BA06,Monthly_Trolley_Total,12,84,0.027853501168582092
BENZO_PATIENTS_N05BA06,Monthly_Trolley_Total,12,84,0.013308889628015533
BENZO_PATIENTS_N05CD08,Monthly_Trolley_Total,12,84,-0.002860326627139539
BENZO_PATIENTS_N05CF01,Monthly_Trolley_Total,12,84,-0.03697031525839789
BENZO_FREQ_N05CF02,Monthly_Trolley_Total,12,84,-0.04739720114081916
BENZO_FREQ_N05BA12,Monthly_Trolley_Total,0,96,-0.10196076946233375
BENZO_FREQ_N05BA02,Monthly_Trolley_Total,6,90,-0.13762871298253215
BENZO_PATIENTS_N03AE01,Monthly_Trolley_Total,12,84,-0.1409548053111687
BENZO_PATIENTS_N05CD01,Monthly_Trolley_Total,12,84,-0.1517310428655622
BENZO_FREQ_N05CD01,Monthly_Trolley_Total,12,84,-0.15726057095433235
BENZO_FREQ_N03AE01,Monthly_Trolley_Total,12,84,-0.15863216895899823
BENZO_PATIENTS_N05BA12,Monthly_Trolley_Total,3,93,-0.16359289508392538
BENZO_PATIENTS_N05BA08,Monthly_Trolley_Total,10,86,-0.18822622109497628
BENZO_PATIENTS_N05BA02,Monthly_Trolley_Total,0,96,-0.19638784280943497
BENZO_FREQ_N05BA08,Monthly_Trolley_Total,10,86,-0.19931087678858916
Total_Benzo_Frequency,Monthly_Trolley_Total,0,96,-0.21210729406558917
BENZO_FREQ_N05CD05,Monthly_Trolley_Total,0,96,-0.21314335422797337
BENZO_FREQ_N05CD07,Monthly_Trolley_Total,0,96,-0.21425338542878908
Total_Benzo_Patients,Monthly_Trolley_Total,12,84,-0.23607984116273237
BENZO_PATIENTS_N05BA11,Monthly_Trolley_Total,10,86,-0.2372343528450391
BENZO_FREQ_N05BA11,Monthly_Trolley_Total,10,86,-0.23992173365966335
BENZO_PATIENTS_N05CD05,Monthly_Trolley_Total,12,84,-0.25224886084703996
BENZO_PATIENTS_N05CD07,Monthly_Trolley_Total,0,96,-0.2527261137855524
BENZO_FREQ_N05CD02,Monthly_Trolley_Total,0,96,-0.41056807567987097
BENZO_PATIENTS_N05CD02,Monthly_Trolley_Total,0,96,-0.4227387372571549
