variable,pressure_variable,lag_months,n,pearson_corr
BENZO_FREQ_N05CD02,Monthly_Trolley_Total,5,91,-0.5597450266793097
BENZO_PATIENTS_N05CD02,Monthly_Trolley_Total,5,91,-0.5577740381081321
BENZO_PATIENTS_N03AE01,Monthly_Trolley_Total,0,96,-0.47000742217065866
BENZO_FREQ_N03AE01,Monthly_Trolley_Total,0,96,-0.45262527029142013
BENZO_FREQ_N05BA02,Monthly_Trolley_Total,11,85,-0.3923236994339554
BENZO_PATIENTS_N05BA02,Monthly_Trolley_Total,11,85,-0.39148344834410376
BENZO_FREQ_N05BA11,Monthly_Trolley_Total,1,95,-0.3850717936085553
BENZO_PATIENTS_N05BA11,Monthly_Trolley_Total,1,95,-0.38367404710406194
Total_Benzo_Patients,Monthly_Trolley_Total,1,95,-0.3775347762694735
BENZO_PATIENTS_N05BA05,Monthly_Trolley_Total,10,86,-0.37628169282884827
Total_Benzo_Frequency,Monthly_Trolley_Total,7,89,-0.3738094481291329
BENZO_PATIENTS_N05BA12,Monthly_Trolley_Total,11,85,-0.3585004084308516
BENZO_FREQ_N05CD05,Monthly_Trolley_Total,7,89,-0.3511526227238645
BENZO_PATIENTS_N05CD05,Monthly_Trolley_Total,4,92,-0.3424908287569785
BENZO_PATIENTS_N05CF01,Monthly_Trolley_Total,7,89,-0.33637861257745943
BENZO_PATIENTS_N05CD07,Monthly_Trolley_Total,5,91,-0.3359690438425839
BENZO_PATIENTS_N05CF02,Monthly_Trolley_Total,1,95,-0.3325043744350805
BENZO_FREQ_N05BA12,Monthly_Trolley_Total,11,85,-0.330699100044084
BENZO_FREQ_N05CF02,Monthly_Trolley_Total,7,89,-0.3303804846029287
BENZO_FREQ_N05CD07,Monthly_Trolley_Total,7,89,-0.3262019766393413
BENZO_PATIENTS_N05BA06,Monthly_Trolley_Total,1,95,-0.31910352135582143
BENZO_PATIENTS_N05BA08,Monthly_Trolley_Total,3,93,-0.2771108403064786
BENZO_FREQ_N05CD01,Monthly_Trolley_Total,4,92,-0.2751257866527457
BENZO_PATIENTS_N05CD01,Monthly_Trolley_Total,4,92,-0.2740123096209088
BENZO_FREQ_N05BA08,Monthly_Trolley_Total,1,95,-0.2726007653389387
BENZO_FREQ_N05BA06,Monthly_Trolley_Total,1,95,-0.2675530480519421
BENZO_FREQ_N05BA05,Monthly_Trolley_Total,11,85,-0.26564424253805025
BENZO_FREQ_N05CF01,Monthly_Trolley_Total,7,89,-0.252992624142286
BENZO_PATIENTS_N05CD08,Monthly_Trolley_Total,1,95,-0.19346105274181563
BENZO_FREQ_N05CD08,Monthly_Trolley_Total,1,95,-0.11960759811768548
BENZO_PATIENTS_N05BA01,Monthly_Trolley_Total,11,85,0.06936348990309332
BENZO_FREQ_N05BA01,Monthly_Trolley_Total,11,85,0.08426664503002364
BENZO_FREQ_N05BA09,Monthly_Trolley_Total,11,85,0.11831656439515185
BENZO_PATIENTS_N05BA09,Monthly_Trolley_Total,11,85,0.17783080711759022
